100000 100000
A 1 10000
S 1 1
S 5000 5000
A 1 1
A 1 10000
H 1 10000
H 10000 1
A 1 10000
H 10000 10000
S 300 100
S 700 100
H 500 100
A 1 10000
A 300 700
H 500 200
A 1 10000
S 18468 6335
S 19170 15725
H 29359 26963
H 5706 28146
A 9962 16828
A 2996 11943
S 5437 32392
S 3903 154
A 12383 17422
S 19719 19896
S 21727 14772
S 1870 19913
H 26300 17036
A 23812 28704
S 30334 17674
H 15142 7712
H 6869 25548
S 32663 32758
S 12860 8724
S 27530 779
S 3036 22191
S 289 30107
S 8943 19265
S 27447 23806
A 6730 24371
H 15007 31102
A 3549 19630
S 24085 19955
H 11841 4967
H 13932 26309
S 32440 24627
S 5538 21539
S 2083 22930
S 4834 31116
S 29659 22705
S 13978 2307
H 22387 5022
S 26925 19073
H 5830 26778
H 5098 16513
A 9162 13291
S 22356 24768
H 15575 4032
H 27351 1151
S 21725 13967
S 31108 30192
S 11338 15458
A 10384 27754
S 8910 32210
H 24222 18589
S 24947 27507
S 16414 29169
S 32592 18763
H 17411 6360
S 20538 21549
A 4042 27596
S 24351 10292
S 9375 11021
A 24022 27349
A 19669 24485
A 54 4735
A 26419 27939
S 3789 18128
H 3729 14894
S 22484 17808
S 14311 6618
S 9515 14310
S 18936 17452
S 5250 16520
H 22799 30304
S 11009 5845
S 14990 32703
A 3094 20486
S 30524 1588
S 9504 7449
S 13459 6619
A 14799 19797
A 19590 20799
S 27158 20473
S 18539 12293
S 24180 18191
H 7959 6192
S 22889 19157
S 16203 2635
H 20056 20329
S 26363 4887
H 28434 29870
S 23845 1417
A 10323 31999
H 10022 5700
H 28477 27893
A 5076 10713
S 2511 21004
H 17862 14689
S 9790 15256
S 5003 10586
A 10286 27089
S 28618 23758
S 30933 4170
H 25722 17190
H 31330 2369
A 10556 21426
S 16550 7442
S 30146 18061
S 3754 16140
S 16280 25997
A 12530 22550
S 19867 12950
A 3298 23196
S 28287 16106
A 12456 16283
S 18115 11702
S 20672 5787
H 4314 24356
A 913 20054
S 1833 20946
S 27757 28322
H 23647 27983
A 4145 23197
S 7130 2162
S 20451 11174
H 12045 21660
A 17254 26440
S 26155 29511
S 20650 13187
S 4475 28023
H 14019 18788
S 17959 7392
S 3626 26478
S 9315 25825
S 25875 24373
H 11834 28071
A 7519 28298
H 17774 32271
H 2669 17193
A 3103 8481
S 7628 4803
A 2626 30528
S 1925 11024
H 13062 14182
S 27433 17506
A 13032 22726
A 143 17223
A 7901 13065
A 8361 22414
H 14271 29171
S 30834 19712
H 18897 4668
A 141 12551
A 2696 21625
S 2126 26577
A 22659 26303
H 22467 4679
A 23852 25485
S 28465 21120
H 2801 18088
H 1927 9011
H 32171 20316
H 30228 12044
H 7165 5110
A 17087 29566
A 14475 29578
S 25628 5630
S 25424 28521
S 14963 124
A 3738 13262
A 1265 32526
H 6203 8117
S 20327 29012
H 6412 25548
H 21521 29791
S 30189 21764
S 20852 18663
S 30901 17714
H 17579 8366
S 11478 1201
H 6440 2304
H 19358 2325
H 5109 21114
A 19802 22851
H 22429 12994
A 6541 19406
S 28705 12836
H 6073 29351
S 14486 20557
S 1627 9358
S 13358 29338
H 23870 29362
A 13023 29618
S 12718 18697
A 24042 24424
S 24230 4566
H 8933 22297
H 12054 16963
A 6655 29735
H 21458 14370
S 2964 2608
A 912 11636
H 22849 4676
S 2224 22143
H 6512 22742
H 21460 17826
S 17871 1627
S 15206 31784
H 17399 22280
S 12194 12735
S 26535 5557
A 10177 25706
H 10549 15882
S 14414 16642
H 24856 13143
H 27612 30878
S 32679 1753
S 28297 12674
S 9314 876
H 12819 611
S 14933 28113
A 13170 23832
S 26489 28686
A 2590 19498
A 15146 19354
S 18652 26741
S 11259 336
H 11193 7606
H 12182 28504
S 23776 20609
A 5998 17550
H 25562 31628
H 29542 26130
S 27814 29175
S 6078 20216
A 8214 23993
S 5602 23393
H 2671 26429
S 4085 10076
A 15499 24971
A 23848 32605
S 21222 22664
S 2364 9011
H 27490 18241
H 25543 7620
S 7592 6705
S 9233 751
S 4976 1540
S 11423 21099
S 13585 13649
H 17865 22914
H 21546 28713
S 18679 1770
H 8520 13986
A 2866 15945
S 23246 25509
S 27871 9602
S 21133 24473
H 25088 28571
H 29902 17104
S 3528 11601
H 14016 5566
S 21544 25348
A 2944 12638
S 26464 5050
A 1589 11343
S 32061 21222
H 29955 20889
S 691 7950
S 21431 25621
S 27068 4537
A 18036 32227
A 7039 9854
S 11225 15749
S 3360 32258
H 4945 14956
S 32727 25412
S 20356 31002
S 9497 18585
S 17965 23343
H 17914 16143
A 21949 25073
S 14607 26174
S 32405 6706
S 29813 19376
A 16037 16566
S 29142 30815
A 6653 8257
S 30839 20483
H 21016 1132
S 17842 14626
S 32638 4187
A 1651 5663
S 10894 10354
S 13453 14009
H 22234 5455
S 16635 26304
H 149 11125
S 4214 27110
S 29201 21081
S 16859 24051
H 31362 15265
S 3677 29644
S 14903 3562
A 1283 24949
H 30675 2221
S 6924 3832
H 3879 20260
S 22620 23972
S 21946 9782
S 12393 32686
S 6699 5590
S 5939 19038
S 31462 6235
S 9962 3960
A 1516 25270
S 28870 59
S 13972 26265
S 16216 24556
S 18331 3040
S 29289 28083
H 16086 20711
A 8381 24775
S 25952 6542
S 1680 17111
A 789 23074
H 18133 29957
A 10009 26114
S 15791 1724
H 29 25185
H 7201 5072
A 1072 21975
S 22868 26154
A 20826 32169
H 15630 28651
A 3310 4694
A 10117 30081
S 26668 1529
H 7865 29422
S 8827 6817
S 27727 28667
A 19965 27682
S 5687 6022
H 14722 6065
S 20416 17903
H 17125 23942
S 31763 28424
S 4807 12269
S 5603 31908
S 23482 1013
S 26631 24115
S 4085 23557
A 21294 29997
H 1055 25346
S 249 7492
S 5132 30115
S 7959 24723
S 6996 1053
H 7480 18239
S 27919 10867
H 32499 28487
A 7463 26634
H 12023 1147
A 3926 13038
S 29459 6603
S 4099 27831
A 7279 14601
A 18353 20449
A 541 28316
H 8763 9568
S 18398 31419
A 13852 25829
S 24231 4450
S 659 230
S 10941 29561
S 25163 1656
H 793 22362
H 16399 23147
S 26947 21189
H 8639 27664
H 24516 11522
H 15616 20529
S 12571 906
H 19558 28963
H 30525 12550
H 331 31924
H 14334 22926
S 19738 16337
S 1279 12394
S 30715 28165
A 19136 19950
S 13338 10005
S 2624 28665
H 25609 30569
A 7086 9153
H 28653 8195
H 23827 28397
H 6250 14641
H 18820 944
S 1942 20290
S 5566 3806
A 16217 31451
S 2610 11065
H 16894 16075
S 30301 19696
H 15590 13162
H 17969 27359
S 26269 19427
S 10423 30775
H 30911 23553
A 15496 25392
H 875 1365
S 28256 4461
H 6973 26822
S 25548 21578
A 25606 30196
A 7951 16344
H 2482 1013
H 23440 13429
S 9763 5968
S 4416 1909
S 11760 26435
S 29487 4320
H 5946 26807
H 18701 11368
A 21788 28533
H 30975 3448
S 18284 26223
S 2377 28584
S 12724 17983
S 14777 9221
S 32183 23857
A 4325 8926
A 15970 19678
S 7535 15678
H 31069 21992
A 7784 16829
S 29427 15872
A 17613 18704
S 11409 5546
S 7186 30239
S 26444 21314
S 8851 25129
S 23651 28150
A 1455 15870
A 20268 27466
S 19794 18635
H 20973 22831
S 28443 5178
H 25771 703
H 1382 16591
S 2238 8024
H 16596 20170
S 12043 31311
A 7927 11059
A 1671 32529
H 2259 7214
H 25784 21287
S 8611 4473
S 18435 5842
S 3504 14868
H 10939 1882
H 22751 28615
A 2662 28459
H 32757 20808
H 19490 19436
H 32076 7587
A 7834 8361
S 26049 8929
A 12434 23841
H 1736 19811
A 11838 21893
A 7329 29353
H 31245 21795
S 9253 11648
S 9536 7209
H 3498 23244
S 22016 26842
A 16101 19813
S 9524 19852
H 28634 29892
S 19855 9991
A 4920 17781
H 12932 32545
S 13488 900
S 8484 5539
A 6194 28253
S 1561 15835
S 31498 2786
S 31541 18806
A 13211 13393
S 21579 26980
H 9278 74
A 1621 21498
S 31277 19791
A 11160 13579
S 26490 160
S 12925 9073
A 27009 27968
S 6478 18504
H 32608 14197
H 13723 12612
S 28762 11057
A 16684 31164
S 19933 25453
S 4955 6814
H 10397 15461
S 10905 2600
S 4681 9199
S 14388 32585
S 3518 17007
H 242 18883
S 3524 31759
S 29622 17096
A 9917 15679
H 13580 25059
H 12751 14008
S 24082 2996
H 24677 27754
A 11785 15566
A 6173 13609
S 29930 7515
H 5056 11192
H 8923 6749
H 10987 2145
S 31578 26518
S 29917 5875
A 15470 22913
S 30694 9092
S 26950 26858
S 26053 237
H 9488 31227
H 16956 23184
A 16098 30181
H 27066 2514
H 12579 21079
H 14141 4612
S 2446 171
H 13490 24751
S 3334 13866
S 17283 27008
S 8897 16368
S 4883 31811
S 7232 2188
S 6480 6322
S 31352 19448
S 9647 22277
H 30190 30423
H 8487 3456
S 29615 4861
H 11778 31349
S 10862 22432
A 12456 14198
S 8753 15822
A 26022 26282
H 15948 27125
S 9136 11377
H 29860 24999
H 9254 6923
S 1644 28889
H 13233 4748
A 19927 25679
H 14802 24962
A 20856 26364
S 10574 31562
S 6474 28275
H 24354 1182
A 2700 18111
S 17466 7173
S 9982 2113
H 4382 8248
A 8806 16672
H 30033 3990
S 23166 15432
H 11294 17207
H 16949 2207
H 18167 3397
A 23695 31021
S 14789 30110
A 11970 28979
S 4016 16627
A 9169 17907
S 12098 28119
A 11786 15200
A 12421 19200
S 18272 15814
S 6086 319
A 1332 7268
A 13445 23187
S 4361 17828
H 26432 7153
H 10269 4694
A 338 31312
S 12678 407
H 29023 19414
S 543 17538
S 21389 7356
A 3182 31648
A 10988 16585
H 20494 8218
S 17483 29448
H 10754 22105
A 13526 19096
S 3965 21782
H 8107 3657
S 22594 27081
A 14869 21412
S 20969 3252
S 12080 28769
S 31532 12934
H 20664 12260
H 27937 2096
H 11875 7721
S 25681 8977
H 5726 4072
S 13560 9157
S 17833 7906
S 7376 21563
A 21081 21963
S 10798 31203
S 10081 5341
H 9059 31494
S 8547 20475
H 19098 8881
S 11073 23401
S 22956 20667
S 23589 12482
H 28316 19397
S 1010 22013
S 11456 18763
S 743 22
